locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1738640,Eva's Catering,Truck,10006000,ORTEGA ST: 18TH AVE to 19TH AVE (1100 - 1199),1100 ORTEGA ST,2055019,2055,19,23MFF-00042,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages,5990583.21,2102550.36,37.752660520412300,-122.47547353178100,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00042&ExportPDF=1&Filename=23MFF-00042_schedule.pdf,,,11/13/2023 12:00:00 AM,20231108,1,11/15/2024 12:00:00 AM,"(37.752660520412284, -122.47547353178139)",1,8,4,56,12
1723823,Natan's Catering,Truck,7166000,ILLINOIS ST: MARIPOSA ST \ TERRY A FRANCOIS BLVD to 18TH ST (600 - 699),Assessors Block 3941/Lot001,3941001,3941,1,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016208.818,2106421.254,37.764741322675000,-122.38712481217900,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00006&ExportPDF=1&Filename=23MFF-00006_schedule.pdf,,,09/12/2023 12:00:00 AM,20230911,1,11/15/2024 12:00:00 AM,"(37.764741322674965, -122.38712481217911)",14,3,8,310,29
1089698,El Tonayense #60,Truck,6752000,HARRISON ST: MISTRAL ST to 20TH ST (2345 - 2399),2355 FOLSOM ST,3593035,3593,35,18MFF-0004,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Drinks,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0004&ExportPDF=1&Filename=18MFF-0004_schedule.pdf,Mo-Su:4PM-10PM,,,20180205,1,07/15/2019 12:00:00 AM,"(0.0, 0.0)",,,,,
1340417,Let's Be Frank,Push Cart,6816000,HAYES ST: GOUGH ST to OCTAVIA ST (400 - 499),425 HAYES ST,817025,817,25,19MFF-00104,EXPIRED,Hot dogs and chili,6005815.064,2110939.717,37.776566896519500,-122.42339537672700,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00104&ExportPDF=1&Filename=19MFF-00104_schedule.pdf,,,07/26/2019 12:00:00 AM,20190725,0,01/15/2021 12:00:00 AM,"(37.776566896519526, -122.42339537672727)",7,9,11,28852,10
1723891,Brazuca Grill,Truck,2458000,ARMSTRONG AVE: HAWES ST to INGALLS ST (1300 - 1399),1315 ARMSTRONG AVE,4851017,4851,17,23MFF-00007,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015787.012,2091256.533,37.723078757516,-122.38752570401700,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00007&ExportPDF=1&Filename=23MFF-00007_schedule.pdf,,,03/01/2024 12:00:00 AM,20230911,1,11/15/2024 12:00:00 AM,"(37.723078757516, -122.38752570401662)",10,3,8,58,1
1657809,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,6109000,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),251 GEARY ST,314014,314,14,22MFF-00042,EXPIRED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,6010516.291,2114707.404,37.78717629174160,-122.40739807595800,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00042&ExportPDF=1&Filename=22MFF-00042_schedule.pdf,,,11/03/2022 12:00:00 AM,20221103,1,11/15/2023 12:00:00 AM,"(37.78717629174164, -122.40739807595821)",5,10,10,28852,6
1750847,TING TING MINI MOBILE DELI,Truck,13139000,VAN DYKE AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1370 VAN DYKE AVE,4811013,4811,13,23MFF-00054,APPROVED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6015684.099,2092668.764,37.72695076437820,-122.3879799562620,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00054&ExportPDF=1&Filename=23MFF-00054_schedule.pdf,,,03/28/2024 12:00:00 AM,20231229,1,11/15/2024 12:00:00 AM,"(37.72695076437817, -122.3879799562619)",10,3,8,58,1
1723814,Natan's Catering,Truck,3376000,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1580 BURKE AVE,5203066,5203,66,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016479.94361,2099135.86798,37.74475219161640,-122.38567924872100,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00006&ExportPDF=1&Filename=23MFF-00006_schedule.pdf,,,09/12/2023 12:00:00 AM,20230911,1,11/15/2024 12:00:00 AM,"(37.74475219161639, -122.38567924872147)",10,3,8,58,1
1744376,HalalCartSF LLC,Push Cart,8741101,MARKET ST: FREMONT ST \ FRONT ST to 01ST ST \ BUSH ST (401 - 499) -- SOUTH --,455 MARKET ST,3709012,3709,12,23MFF-00051,REQUESTED,Gyros: Kebabs: soft drinks: and water,6013076.33,2116028.637,37.79094704192340,-122.39863358940400,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00051&ExportPDF=1&Filename=23MFF-00051_schedule.pdf,,,,20231121,0,11/15/2024 12:00:00 AM,"(37.79094704192342, -122.39863358940373)",12,2,9,28855,6
963980,Singh Brothers Ice Cream,Truck,6548000,GRIFFITH ST: INGERSON AVE to JAMESTOWN AVE (2900 - 2999),2900 GRIFFITH ST,4973001,4973,1,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6015142.712,2089052.53,37.71699129032400,-122.38959908417000,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,Mo-Fr:12PM-1PM,,,20170418,1,03/15/2018 12:00:00 AM,"(37.71699129032396, -122.38959908416973)",10,3,8,58,1
